Invention,Description,Background,Category
"Identification, Creation and Facilitation of Lovebird Relationships","The ""Lovebird Scale"" is a tool designed to enhance the success of online dating by pinpointing couples who maintain long-lasting romantic connections. The scale is based on multiple studies by the inventors that revealed various loving behaviors, interactions, and cognitions that occur within exceptionally high-quality relationships, known as ""Lovebird"" couples, who have the potential to sustain deep love over time. Individuals are paired with compatible partners, aiming to recreate the enduring bond seen in Lovebird couples. Moreover, the scale serves as a valuable resource for assessing the health of existing relationships, offering insights and guidance to couples seeking to strengthen their connection and align with the qualities of a Lovebird relationship.","The technology addresses the persistent challenge of finding genuine and lasting connections in the realm of online dating. While current dating platforms utilize algorithms to match individuals based on various factors like interests and compatibility scores, they often fall short in predicting the long-term success of a relationship. Many users still struggle to find meaningful connections that endure beyond initial attraction. The Lovebird Scale offers a novel approach by focusing on identifying and understanding the dynamics of enduring relationships, allowing for more accurate matchmaking and providing valuable insights for improving existing relationships. Unlike existing technologies that primarily rely on surface-level data for matching, the Lovebird Scale delves deeper into the qualities that sustain love over time, offering a more nuanced and effective solution to the challenges of online dating.",Software & Information Technology
A Privacy Preserving LLM Chatbot with Inbuilt Authentication and Elastic Hardware Support: a Team Invention,"This technology is a novel chatbot architecture, Chatür, which is a full stack chatbot provided as a service with the ability to be fine-tuned/trained only on user presented data. Chatür prioritizes privacy by keeping all data within the user's hardware, ensuring user information remains secure. It boasts elastic support with cutting-edge hardware, meaning it can adapt and scale efficiently to varying workloads. Additionally, it features built-in authentication and authorization mechanisms which enhances user security. Integration with existing software pipelines is seamless, making adoption easier for businesses. Unlike some counterparts, Chatür does not produce nonsensical responses (hallucinations), ensuring coherent interactions. Moreover, it has the potential to operate over HIPAA protected data, meeting stringent healthcare data privacy requirements. This chatbot architecture is unique in that it can be fine-tuned or trained solely on user-provided data, preserving privacy while allowing customization to mimic emotional awareness and various human personality traits.","The technology aims to address several key issues prevalent in current chatbot architectures. One major concern is privacy. Existing solutions, like OpenAI's ChatGPT, often involve sending user data to external servers for processing, raising privacy and security risks. Additionally, current models lack fine-tuning capabilities on user-provided data, limiting personalization while posing potential privacy threats. Many chatbots struggle to handle fluctuating workloads effectively, leading to performance issues during peak times. Moreover, some models produce nonsensical responses, diminishing user experience and trust. Chatür’s approach contrasts with existing chatbot models by allowing customization based on user-provided data while preserving privacy. Additionally, with built-in elastic support and state-of-the-art hardware, the architecture ensures efficient scaling to meet varying workloads, improving overall performance and reliability. By addressing these key issues, Chatür represents a significant advancement in chatbot development, offering enhanced privacy, personalization, and scalability compared to current solutions.",Software & Information Technology
Qordle: A Word Game to Introduce Quantum to Masses,"This is a word game to teach people about quantum theory, similar to other word-based guessing games like Wordle and Wheel of Fortune. Based on recently found connections between Quantum Physics and Human Natural Language, this game uses Quantum Natural Language Processing (QNLP) to slowly introduce and teach quantum theory concepts to non-experts.","Quantum is colloquially recognized as a highly technical and complex field of study, yet is being used increasingly in computing, communications, security, and more. There is a great need to create a quantum-literate population and develop a workforce for this emerging and growing field. This invention provides a fun, gamified learning experience to enable quantum education.",Engineering & Physical Sciences
NEPAccess,"This invention is a powerful, multi-user, freely available knowledge-discovery and engagement platform called <a href=""https://www.nepaccess.org/"" target=""_blank"">NEPAccess</a>. NEPAccess uses cutting-edge artificial intelligence (AI) and machine learning approaches to provide tools to assess the impacts, geographic footprints, and affected communities of past and future actions resulting from the National Environmental Policy Act of 1969. NEPAccess also has tools to analyze formal and informal public engagement in NEPA, dashboards to display information like timelines to project completion, and most critically, a workspace for all citizens to engage in NEPA.","Since 1969, the National Environmental Policy Act (NEPA) has generated vast amounts of data on federal projects and environmental conditions across the US. But this information has been prohibitively difficult to access and use—there is no centralized repository of NEPA documents, no standard protocol for reporting analyses and data, and no central platform or standard approach for engaging the public. Thus, NEPAacess was created. NEPAccess uses artificial intelligence (AI) to search for, download, and analyze decades of past NEPA reviews, such as environmental impact statements. Created by a team of interdisciplinary researchers at the University of Arizona, NEPAccess allows for the comprehensive analysis of environmental data in one unique system for the first time.",Software & Information Technology
Development of Milk-Based Kefir using a Combination of Probiotic Lactobacilli Bacteria and the Dairy Yeast Kluyveromyces Marxianus var. Lactis (K. Lactis),"This innovation is a milk-based Kefir created from a popular commercial lactobacilli (LAB) culture mixed with the probiotic yeast <em>K. lactis</em>. Experimental formulations involved different amounts of <em>K. lactis</em> to find the optimal balance and various tests assessed the quality of the Kefir, such as measuring cell counts, pH levels, acidity, lactose content, and sensory analysis. The final Kefir prototypes matched the control product and also met the criteria for being considered probiotic, with higher viable cell counts and reduced lactose levels. These findings suggest that incorporating new probiotics into familiar dairy products could be a promising way to enhance probiotic intake and make products more accessible to a broader audience.","Probiotics have gained recognition for their potential health benefits, but traditional dairy products often lack sufficient probiotic content. Additionally, lactose intolerance is a common issue, particularly among certain populations. Current solutions involve using commercial LAB cultures, but they may not always achieve desired probiotic levels or adequately address lactose intolerance concerns. By incorporating the probiotic yeast <em>K. lactis </em>alongside traditional LAB cultures, the product achieves higher probiotic counts and lower lactose levels, meeting the criteria for being considered probiotic. This approach offers a more effective means of delivering probiotics while simultaneously addressing lactose intolerance concerns. It provides a viable alternative to conventional methods, potentially expanding the accessibility and appeal of probiotic-rich dairy products to a wider audience.",Agriculture & Horticulture
Cow's Milk Yogurt made using Saccharomyces Cerevisiae var. Boulardii promotes Probiotic Levels and Extends GI Health Benefits,"This innovation incorporates <em>Saccharomyces boulardii</em>, a probiotic yeast, into dairy products such as yogurt and kefir. With consumers seeking more options to increase their probiotic intake, the research aimed to investigate if <em>S. boulardii </em>could grow alongside traditional yogurt and kefir cultures to create products that meet both sensory standards and regulatory requirements. Through trials varying the levels of <em>S. boulardii </em>in combination with the traditional cultures, researchers successfully produced yogurt and kefir with acceptable characteristics in terms of taste, texture, and probiotic viability. These findings suggest that incorporating novel probiotics like <em>S. boulardii</em> into mainstream dairy products could offer an effective means of enhancing probiotic consumption among the general population.","As consumers increasingly seek ways to boost their probiotic intake for improved gut health, they have few options for probiotic yeasts, particularly in food and beverages. Current options predominantly focus on bacterial probiotics, such as supplements or foods containing bacterial strains like <em>Lactobacillus </em>and <em>Bifidobacterium</em>. However, these options don't fully cater to those who may prefer or benefit from yeast-based probiotics. The innovation lies in incorporating <em>S. boulardii </em>into familiar dairy products like yogurt and kefir, making it more accessible and palatable to consumers accustomed to these items. Integrating <em>S. boulardii</em> into these mainstream products broadens the range of available probiotics while leveraging the familiarity and popularity of yogurt and kefir to encourage greater consumption of beneficial yeasts. This approach potentially addresses the limitations of current products by offering a convenient and familiar way for consumers to incorporate probiotic yeasts into their diets, thereby promoting gut health more effectively.",Agriculture & Horticulture
Bea Breast Density Bioelectrical Impedance Device Attachment,"This technology is a device which applies bioelectrical impedance (BIA) principles to the breast for an estimate of breast density in order to provide a new screening tool for detection of breast cancer. BIA technology is applied to the limited area of breast as opposed to whole body measurements commonly used to assess adiposity. The goal of the breast BIA device is to reduce breast cancer health disparities by enabling a ""pre-screening"" of breast density (without radiation) that would indicate whether standard mammography screening should be undertaken. Populations particularly targeted will be those in low resource settings as well as younger (under age of 40) Hispanic and African American women who have a higher prevalence of early onset breast cancer.","BIA is most commonly used for whole body assessment of excess adiposity, i.e. obesity. BIA is not currently used as a screening tool for breast cancer, though breast tissue is largely made up of fat and water. Mammography is the current clinical standard for breast cancer risk assessment. Magnetic resonance imaging (MRI) assessed breast density works on the principles of fat and water and is being developed as an alternative to mammography for breast cancer risk assessment. MRI does not introduce radiation whereas mammography screening does introduce radiation. There is no radiation exposure with BIA either. In fact, BIA current is imperceptible and no side effects have been demonstrated; it is essentially non-invasive. BIA also has the advantage of being able to be small and highly portable and, therefore, amenable to field screenings which are important for rural areas and other underserved populations.",Healthcare Portfolios
Synthesis of Novel Au(II) Dimers and Investigation of their Potential for Applications in Cancer Treatment,This invention is a method of synthesis of novel Au(II) dimer with pyridine dipyrrolinone (H2PYDP) ligands which demonstrate antiproliferative activity in ovarian cancers. This compound operates with a different mechanism than similar existing drugs allowing for novel combinational drug therapies to be created and tested.,"It is estimated that in 2024, about 19,680 women will receive a new diagnosis of ovarian cancer and about 12,740 women will die from ovarian cancer. For those in remission, more than 80% of ovarian cancer patients experience recurrent disease, and more than 50% of these patients die from the disease in less than five years post-diagnosis. For years, cisplatin and other platinum-based anticancer drugs have remained the drugs of choice for treating ovarian cancer with a variety of combinational options. Despite the initial success of these drugs, cisplatin falls short in its ability to maintain efficacy. To address the resistance to cisplatin, these novel Au(II) dimers with newer mechanistic approaches are likely to provide new avenues for ovarian cancer therapies.",Life Sciences
Apparatus and Method for Closed Loop Control of Heliostat Motion,"This invention is an apparatus and method for controlling the motion of heliostats, which are mirrors that reflect sunlight towards a common target. For heliostats to be maximally efficient, they must be able to shift in orientation precisely as the Sun’s relative position to the Earth changes. This technology utilizes a beamsplitter perpendicular to a heliostat reflector surface and to the incident and reflected rays of sunlight, as well as a camera that views both the sunlight transmitted through the beamsplitter and the sunlight reflected from the beamsplitter. By applying the law of reflection, the system ensures that the images of the sun and the target captured by the camera share a common center when the heliostat is correctly oriented. A computer processes these images to continuously adjust the heliostat’s orientation, maintaining accurate targeting of the reflected sunlight. The integrated dual-axis mount and automatic mechanical shape adjustment significantly enhance the precision and efficiency of solar energy collection.","Numerous heliostat tracking and orientation correction methods currently exist, including open loop methods, which calculate the necessary orientations of each heliostat in a tower or field based on relative positions of the Earth and Sun and the precise location of the heliostat. However, these methods are imprecise and cannot account for irregularities or imperfections in the heliostat, or for uneven or rocky ground beneath a heliostat tower or field. Closed loop methods of heliostat control, in which the heliostat’s degree of unalignment is continuously calculated using sensors and cameras and then corrected, are more effective and precise than open loop methods, but many current methods require cameras with very wide fields of view, which have relatively low resolution and high distortion. This limits the accuracy of most current closed loop heliostat orientation control to greater than 1 milliradian milliseconds. This technology, using a camera in conjunction with a beamsplitter on the heliostat reflector, can achieve an accuracy of less than 0.5 milliradian milliseconds.","Energy, Cleantech & Environmental"
Rigid Tube Stabilizer System (RTSS),"The invention is a rigid tube stabilizer system (RTSS) and three-ring release system to deploy RTSS to prevent entanglement with a drogue parachute during main canopy deployment. The RTSS unit is placed on the front of an individual who hand-deploys the system, activating a rigid tube that disallows entanglement with the system webbing, promoting free fall stability. Designed for skydivers, aviators, and anyone who uses parachutes to deliver people or payloads, this technology will significantly improve parachute deployment safety.","When gear or skydivers are dropped from any altitude there is a potential of entanglement. An entanglement malfunction disallows the main parachute to deploy appropriately and provide a soft landing for gear or people which can lead to catastrophe. At near space altitudes or lower density atmospheres of other planets, this becomes a huge safety concern. Less dense molecules in an atmosphere disallow proper inflation of stabilization drogue parachutes. The RTSS unit system addresses these safety issues to promote fewer canopy deployment errors and enhance free fall stability.",Engineering & Physical Sciences
Method and Apparatus for Collaborative Error Correction using Quantum LDPC Codes and Message Exchange Among Iterative Decoders,"Quantum low-density parity-check (QLDPC) codes are the leading candidate for performing error correction in scalable fault-tolerant quantum computing systems. This invention is a novel method and apparatus for collaborative decoders using QLDPC codes. These quantum decoders pass messages not only within the individual decoders that correct specific error types but also exchange information amongst each other to collaboratively correct multiple error types with excellent decoding performance and speed. Collaborative decoders using QLDPC codes will exchange information amongst each other in an iterative fashion aiding them to correct errors in larger numbers than the state-of-the-art decoder as well as in a faster way than when they work alone. This collaborative approach allows for the correction of multiple error types simultaneously, significantly increasing the number of correctable errors and enhancing the decoding speed compared to existing state-of-the-art decoders.","Quantum computing is a rapidly growing field that can be used for more applications than classical computers, but it is prone to errors due to quantum decoherence and other noise sources. Error correction is crucial for the development of practical quantum computers. QLDPC codes are a leading candidate for error correction because of their efficiency and scalability. Traditional QLDPC decoders, however, face limitations in correcting errors quickly and effectively, especially when multiple types of errors occur. The collaborative decoders in this invention address these limitations by enabling decoders to share information and work together iteratively. This results in faster and more robust error correction, paving the way for more reliable and scalable quantum computing systems.",Engineering & Physical Sciences
Radiative Cooling and Air Conditioning System with Enhanced Efficiency and Humidity Resilience,"This technology is a radiative cooling and air conditioning (RC/AC) system that is highly efficient, performs under humid conditions, and is minimally impacted by parasitic heating (inherent loss of energy due to inefficiencies in an RC/AC system). These benefits are accomplished through the incorporation of three innovative components in the RC/AC system: a broadband solar reflector capable of reflecting the entire solar spectrum which makes daytime radiative cooling possible; the use of fluids and gasses with high thermal emissivity as the working fluid, making heat exchange between the system and surrounding environment as efficient as possible; and an angular shield designed to block incoming thermal radiation and reduce the impacts of water vapor on cooling efficiency, minimizing the impacts of parasitic heating and allowing for efficient operation in humid environments. The compact design of the system makes it ideal for use in commercial and residential settings.","Air conditioning systems have many limitations, such as electrical issues, leaking ducts, and/or refrigerant leaks or low levels that cause the unit to underperform or not function properly, all while expending additional energy and increasing cost to users. High humidity can make it difficult for AC units to effectively cool because it's more difficult to remove moisture from the air. This system addresses the key limitations of current AC systems while reducing energy consumption, providing an environmentally friendly alternative to traditional air conditioning systems.",Engineering & Physical Sciences
Non-Invasive Biomedical Pressure Measurement Using Ultrasound-Induced Acousto-Optic Modulation,"This invention is a novel method for measuring pressure inside the body without invasive procedures that combines ultrasound and laser technologies through the acousto-optic effect. By combining ultrasound and laser technologies, it offers a safe and accurate way to assess pressure levels in biological environments. An ultrasound wave is directed at the target area, such as the eye or brain tissue, which creates variable vibrations in the tissue depending on the internal pressure. At the same time, a laser beam is aimed at the vibrating tissue. When the ultrasound wave and laser light interact, they produce changes in the diffraction pattern of the laser light. These changes are linked to variations in the speed of sound, which correspond to changes in pressure. By analyzing the angle and intensity of the diffracted laser light, precise measurements of pressure at different depths and locations within the tissue can be obtained.  This method is advantageous as it is non-invasive, eliminating the need for uncomfortable procedures such as measuring intraocular or intracranial pressure. With its potential applications in ophthalmology, neurology, and cardiology, this technology could significantly enhance patient care and medical diagnostics.","Accurate pressure measurement is crucial in medical diagnostics, yet current methods often involve invasive procedures or rely on indirect measurements, leading to discomfort and potential risks for patients. Methods like tonometry in ophthalmology and lumbar punctures in neurology require invasive contact and have associated risks. Existing non-invasive methods, like cuff-based sphygmomanometers in cardiology, lack continuous or internal pressure measurements within vessels.  This technology offers a non-invasive approach to measuring pressure in biological environments, such as the eye or brain tissue. By using the acousto-optic effect, it can precisely assess pressure at various depths and locations within the tissue. This innovation eliminates the discomfort and risks associated with current methods, providing safer, more accurate, and patient-friendly pressure measurements across different medical applications. Furthermore, the comfort and non-invasiveness of this technology would likely improve patient willingness to undergo these measurements, facilitating better disease management and monitoring.",Imaging & Optics
Efficient Colored Solar Panels and Cells with Integrated Coloration,"This technology is a novel method of integrating vibrant colors into solar panels and cells without significantly compromising their performance. This is achieved through innovative optical coatings and structures that create narrowband resonances, allowing for selective color reflection or transmission while maintaining high levels of light absorption for energy conversion. Fano Resonant Optical Coatings (FROCs) provide coloration to amorphous solar cells and solar thermal panels, and guided mode resonances provide coloration to crystalline solar cells. This technology has diverse applications in the solar panel industry as it can be used on crystalline silicon, amorphous silicon, and thermal solar panels. By making it possible to manufacture solar panels in a wide range of colors, this technology could enable the use of solar panels on buildings for which aesthetics are important design considerations. Building-integrated photovoltaics (BIPV) can now be seamlessly incorporated into architectural designs without detracting from the building's appearance. Similarly, consumer products powered by photovoltaics, such as portable chargers and wearables, can now enjoy a wider range of colors without sacrificing efficiency. Additionally, this technology could allow for portable solar powered devices to be available in many color options.","Solar panels may be overlooked as an option in buildings where aesthetics matter. Traditional solar panels are typically dark and uniform in color to maximize light absorption and energy conversion. However, the aesthetic limitations have restricted their use in various applications where appearance matters. Making them available in a variety of vibrant colors rather than the typical black or blue could allow for solar panels to more easily blend in with and complement a building’s design, which could lead to more widespread solar panel use. Solar panels in different colors are already available, but most are enabled by thin-film filters rather than the optical coatings used in this technology, and they currently tend to come with significant reductions in efficiency and at high prices.","Energy, Cleantech & Environmental"
Remote Phosphor Design for LED,"This is a novel approach to LED device packaging by employing a reverse Cassegrain model within a micro-LED configuration. This design directs and mixes light efficiently, resulting in a high-performance LED package. The laser-driven white light source delivers high brightness, luminous flux, and high directionality for solid-state lighting applications. The technology is integrated into a standard Cassegrain optical model to develop a novel micro-LED device package that directs and mixes all lights of the system in order to optimize illumination and increase the output of the LED. The prototype LED design was optimized and found to significantly outperform existing commercial LEDs in terms of luminous efficacy, color fidelity, and projection efficiency.","Due to an increased emphasis on energy efficiency, LED researchers are actively seeking ways to increase the generation of white light per unit watt. The invention addresses the increasing demand for high-efficiency, high-brightness lighting solutions in solid-state lighting applications. Traditional LED systems often struggle with balancing high brightness, color accuracy, and energy efficiency. The proposed remote phosphor design using the reverse Cassegrain model offers a substantial improvement by optimizing light direction and mixing. This leads to higher luminous output and better color fidelity without sacrificing energy efficiency. This is important for electric vehicles looking to reduce their energy budget. Active studies are pointing towards utilizing lasers for headlamps as they are much brighter and cost about two-thirds the amount of energy when comparing to traditional sources.",Imaging & Optics
"Platform Development to Improve Bar Data Tracking, Analysis, and Reporting","This technology offers a modern solution for law schools to efficiently track and analyze bar exam performance data. This platform simplifies this process by enabling more sophisticated data management and analysis, allowing schools to identify key predictors of bar exam success and implement targeted study interventions. By leveraging this platform, law schools can generate comprehensive reports and gain deeper insights into student performance trends. This will help schools better support students in their exam preparations and enhance overall outcomes. The platform is designed to be a scalable tool for improving bar exam performance tracking and intervention strategies across the board.","Currently, tracking bar exam success data is labor-intensive and limited to methods that often rely heavily on spreadsheets. These methods restrict data analysis to two-dimensional planes and do not effectively identify predictors of bar exam performance or optimal study methodologies. Current solutions lack the capability to provide comprehensive, actionable insights that can guide targeted interventions. This technology offers a more advanced and user-friendly platform for bar exam data tracking and analysis to identify key predictors of success in law school.",Research Tools
"Novel, Humanized Transgenic Background Mouse Strain for Neurodegenerative Disease Research","This invention is a transgenic mouse model for the study of neurodegenerative diseases like Alzheimer’s and Parkinson’s Disease. This new model crosses a humanized APOE mouse model with a humanized APP gene, both common implicated genetic factors in Alzheimer’s Disease. The technology also developed a Parkinson’s Disease specific strain, where L444P and the GBA gene were crossed and developed for this novel mouse model.","In 2023, as many as 6.7 million Americans were living with Alzheimer’s Disease and 1 million people in the U.S. are living with Parkinson's disease (PD). Parkinson's is the second-most common neurodegenerative disease after Alzheimer's disease. Traditional mouse models have remained limited in their ability to accurately study neurodegeneration etiology. This novel model employs identified proteinopathy pathways aimed at providing a more humanized strain of mice that are better suited for neurodegenerative research for humans.",Research Tools
